country_byte,corr_N1_K_out,corr_N1_N2_out,corr_N2_L,corr_N1_L,corr_L_K,corr_N2_K_out,g_L,g_n1,g_k,g_n2,dlog_tfp,g_A,sdL,sdn1,sdK,sdn2,sdA,bias_reduction,RMSE_reduction,RMSE_baseline,RMSE_baseline_NK,RMSE_reduction_share,g_A_bar,g_hat_A,g_tilde_A,bias0,bias1,var0,var1,RMSE_reduction_topcode,country_string
AGO,.13175738,.091476098,-.1118876,.0079867831,-.097444765,-.28993759,.032281954,.038892236,.034809843,.011759172,.017758699,.017758699,.013166289,.096085913,.028667996,.0112757,.049846724,.00093089481,.0001791391,.010017655,.010196794,.017568178,.017758699,.01966653,.018735634,.0019078306,.00097693584,.00010033479,.000099399003,.0001791391,AGO
ARG,.1274275,-.10529719,.010496704,.16099885,.35946068,-.14883783,.023179123,-.0068393126,.024670564,-.0041736015,-.0026869653,-.0026869653,.019086411,.036338206,.014943453,.012538658,.041316811,.00084395241,.000061594124,.0082650483,.0083266422,.007397234,-.0026869653,-.0036436594,-.002799707,-.00095669419,-.00011274175,.000068417707,.000068298308,.000061594124,ARG
ARM,.16193953,.19825798,-.20920889,.348555,.36662447,.14990258,-.023586988,.15650295,.030986156,.012448542,.06224107,.06224107,.038247094,.16192324,.032726839,.025502445,.065754786,.0088907881,.0030041444,.013158083,.016162228,.1858744,.06224107,.071498238,.061874691,.0092571676,-.00036637994,.00017552244,.00017300091,.0030041444,ARM
AUS,-.12761146,.088791266,.11517892,-.03587221,.23189837,-.078638859,.018681189,.049015049,.037362117,-.01009538,.0045775846,.0045775846,.0073435861,.048200995,.010888549,.023415534,.011757904,.0024401527,.0014532724,.0024419299,.0038952024,.37309292,.0045775846,.0076341666,.0039611552,.0030565821,-.00061642932,5.8299083e-06,5.5830369e-06,.0014532724,AUS
AUT,-.080040172,.086451426,.056600209,-.064514607,.044804487,.087864585,.009935136,-.018971385,.021146437,.0017300522,.0033297008,.0033297008,.0063918433,.09587653,.0070566125,.033649601,.010685745,-.00036943931,.00016029617,.0022208374,.0023811334,.067319274,.0033297008,.0034639894,.0028259731,.00013428846,-.00050372776,5.6517633e-06,4.6783766e-06,.00016029617,AUT
AZE,-.056941554,-.0064366963,-.33422878,-.012755502,.40808001,-.46059397,.011855508,-.0065984256,.071460664,.0025760904,,,.0070653176,.40932441,.037856247,.0073696962,,.0016354298,,,,,,,,.0021442226,.00050879287,,,,AZE
BDI,.03548805,-.0065930453,.48541737,-.059641767,.6366654,.47829425,.027245192,.079856887,.038547754,.00049757957,-.01310966,-.01310966,.012477247,.34044808,.029055569,.016927376,.02720736,.0046289871,.0029261338,.0055104685,.0084366025,.34683797,-.01310966,-.0076232799,-.013967052,.0054863798,-.00085739279,.000041075891,.000029630139,.0029261338,BDI
BEL,.11936382,-.5569092,-.30276307,.20482439,.70293051,-.31980869,.0098366989,.215,.021148991,-.0031984225,.0017963966,.0017963966,.0067820731,.81001544,.0056996732,.017923612,.0096520931,.0039744065,.0072786985,.0020906695,.0093693677,.77686119,.0017963966,.0065609463,.0025865396,.0047645499,.00079014309,.000065084118,3.7465729e-06,.0072786985,BEL
BEN,-.16338842,-.04209755,.086888693,-.049139369,.22475061,-.10922801,.029745623,-.041320857,.042567994,.013249072,.015505413,.015505413,.0044169747,.26257756,.024156624,.022433609,.02410592,.0027879216,.0013406127,.0048266039,.0061672167,.21737726,.015505413,.01835165,.015563728,.0028462368,.000058315367,.000029933497,.000023292705,.0013406127,BEN
BFA,.061724797,-.070056699,-.30806044,-.31411389,.48241866,-.18910855,.016554704,.20692082,.065415613,.0056100786,.013259884,.013259884,.016619226,.45442837,.022475036,.02240843,.026669158,.0020897829,.0019421926,.0053956821,.0073378747,.26468053,.013259884,.016136896,.014047113,.0028770124,.00078722957,.000045567205,.000028493656,.0019421926,BFA
BGR,-.26830843,.15369202,-.027499147,.11901136,.29837328,-.16786024,.0028051336,-.0063211643,.051921111,-.0068320981,-.0064297612,-.0064297612,.027890172,.076036446,.035995714,.015639966,.046695463,.0011030859,.00011442415,.0093420893,.0094565134,.012100035,-.0064297612,-.0051463326,-.0066101034,.0012834284,-.00018034245,.000087778462,.000087242115,.00011442415,BGR
BHR,.13193575,.21115826,-.021768725,-.30082086,.1566865,-.28551304,.054731134,.042989116,.051279459,-.0013847599,-.009228711,-.009228711,.043873545,.12544928,.021929728,.031320553,.015049094,.0021844599,.0013017799,.0031263321,.0044281119,.29398081,-.009228711,-.0062491088,-.0084335683,.0029796024,.00079514255,.000010730146,9.1417014e-06,.0013017799,BHR
BIH,.31475398,-.17101811,.1442796,-.1089339,.70654511,.0090417108,.054125,.066448778,.073942818,.0068909875,,,.17677784,.18964076,.04842804,.065963402,,.0043364107,,,,,,,,-.005080665,.00074425462,,,,BIH
BLR,.068152733,.087977506,.61399239,.077533662,.61767882,.37938553,-.00046469769,-.036981653,.033429045,-.0028142456,,,.010448989,.31930479,.028302811,.0029144499,,.0024270713,,,,,,,,-.0025629431,-.00013587179,,,,BLR
BOL,-.18858965,-.11310352,.16925398,.36697391,.002337706,.022342535,.020284107,.037902337,.04109367,.000088286899,.0045379559,.0045379559,.01360292,.082207121,.02149136,.0051863273,.014006671,.0010030436,.00028309599,.0028023664,.0030854624,.091751561,.0045379559,.0055981651,.0044807903,.0010602092,-.0000571657,8.3960340e-06,7.8499897e-06,.00028309599,BOL
