country_byte,corr_N1_K_out,corr_N1_N2_out,corr_N2_L,corr_N1_L,corr_L_K,corr_N2_K_out,g_L,g_n1,g_k,g_n2,dlog_tfp,g_A,sdL,sdn1,sdK,sdn2,sdA,bias_reduction,RMSE_reduction,RMSE_baseline,RMSE_baseline_NK,RMSE_reduction_share,g_A_bar,g_hat_A,g_tilde_A,RMSE_reduction_topcode,country_string
AGO,.16357175,.12379789,-.001288277,.014158449,-.066935904,-.13304122,.030876527,.029643847,.031629033,.0033809203,-.00597551,-.00597551,.0094155278,.10929175,.025778651,.0063247764,.071632996,-.000078358804,-7.6366246e-07,.0085883597,.008587596,-.000088926223,-.00597551,-.0058828741,-.0058045154,-7.6366246e-07,AGO
ARG,.11947906,-.022878053,-.056190189,.031648088,.051015604,-.094797798,.017746979,.0038703447,.025142087,-.0012073424,-.0042797709,-.0042797709,.018456461,.10713324,.017014546,.0056646201,.042223174,.00087282085,.000082326893,.0050873039,.005169631,.0159251,-.0042797709,-.0051998245,-.0043270034,.000082326893,ARG
ARM,.31230772,.24156807,-.23177734,.24499002,.30347043,.1614304,-.022076823,.1168258,.028362149,.0031363005,.06266772,.06266772,.035942629,.16370815,.034620147,.0099546891,.064405657,.0049145655,.0014527903,.0077600186,.0092128087,.15769245,.06266772,.06763044,.062619559,.0014527903,ARM
AUS,-.046399161,-.0043216934,.018589003,-.043409672,.27113056,.033407543,.01744825,.03946057,.039783809,-.0030428276,.0031224512,.0031224512,.013540018,.082075417,.01127049,.010307506,.014785012,.0023805576,.0012888614,.0018404365,.0031292979,.4118692,.0031224512,.0056573236,.0029681365,.0012888614,AUS
AUT,.022709457,.042089991,.021264419,-.056047782,-.0047194362,.022722909,.0067737978,-.025022345,.031071184,.00016726348,.005710464,.005710464,.0074118492,.12850468,.015346134,.018934237,.010980804,.0012223894,.00043709055,.0015206301,.0019577206,.22326502,.005710464,.0044856207,.0057080099,.00043709055,AUT
AZE,-.058002807,-.13138863,-.17058446,-.019035421,.54567152,-.27467301,.0089510921,-.0045861518,.066897258,.00062327407,,,.010170867,.37785381,.043520123,.0028888271,,.0014397218,,,,,,,,,AZE
BDI,.31801841,.047703933,.37391597,.13991643,.75463539,.36272615,.02391837,.068904757,.032785721,-.00051297975,-.0092025185,-.0092025185,.012886283,.41615045,.033370022,.007798105,.036852643,.0015221563,.00034104942,.0050749085,.0054159579,.062971212,-.0092025185,-.0072705112,-.0096123694,.00034104942,BDI
BEL,.0092580169,-.024330726,-.20864108,-.2079425,.026633164,-.051369186,.0056880349,-.049524114,.025964124,-.00094929861,.0067974445,.0067974445,.0093405945,.29065552,.011183062,.0074937823,.013417365,.0011299818,.00025873381,.0023641079,.0026228419,.098646373,.0067974445,.0056607309,.0067907129,.00025873381,BEL
BEN,-.31439483,-.077468038,.031037048,.053564861,.078770541,.078646868,.030156737,.018393647,.033242583,.0033914633,.011795232,.011795232,.004783072,.097727396,.027629741,.0093401559,.03201722,.00037304647,.000025556883,.0038719727,.0038975296,.0065572006,.011795232,.012250488,.011877442,.000025556883,BEN
BFA,.14978814,-.093972012,-.27456182,-.24488609,.11628833,-.14743574,.01920633,.25026751,.070002541,.0012536984,.0005881245,.0005881245,.015449862,.4720068,.024145178,.0089363828,.046306528,.0079221576,.0040112119,.0062153684,.01022658,.39223397,.0005881245,.0087133218,.000791164,.0040112119,BFA
BGR,-.24114431,.1671911,-.045695402,.053343162,.48126265,-.14247341,-.0048559564,.0044696247,.047805265,-.0018010011,-.0021616609,-.0021616609,.031785589,.060047656,.035867807,.0066364352,.039952274,.0014655651,.00026139623,.0047908053,.0050522014,.051739074,-.0021616609,-.00055324589,-.0023045109,.00026139623,BGR
BHR,.13878691,-.0065590274,.13849692,-.29046583,.27760404,-.15751658,.054970518,.040278189,.056122646,-.00074717111,-.021707712,-.021707712,.036547542,.12072713,.030432485,.010594448,.056639146,.002359967,.0004392546,.0068092053,.0072484598,.060599715,-.021707712,-.019220192,-.021835264,.0004392546,BHR
BIH,.34713995,-.15292129,.13476825,.25125518,.64293838,.028626507,-.030873744,.023164084,.07043881,.002042518,,,.30018568,.19233948,.050542135,.03024541,,.0022231655,,,,,,,,,BIH
BLR,.063758358,-.13941121,.10525303,.047542498,.62478167,.37790713,-.0060061626,-.035465334,.031476162,-.00074456487,,,.016992828,.3063522,.029377135,.0015667618,,.0026196963,,,,,,,,,BLR
BOL,-.015212164,-.032796368,.11139526,.064664766,-.11656953,-.0027523576,.023183709,.060475402,.030740365,-.00014606994,-.0012920799,-.0012920799,.015140956,.22844408,.025815416,.0024893393,.021588508,.0019538139,.00060991046,.0029193761,.0035292867,.17281409,-.0012920799,.00069163163,-.0013219774,.00060991046,BOL
BRA,.27108067,.056553695,.014838714,.037094053,.37174132,-.13147944,.023908196,.062739968,.040547956,.0027307307,-.003633749,-.003633749,.026565159,.12183807,.029552484,.01251973,.030922148,.001053415,.00017959769,.0037690373,.003948635,.045483489,-.003633749,-.0024547267,-.0035081417,.00017959769,BRA
BWA,-.0018991251,.063339688,.40554759,-.06723401,.31417736,.2699348,.031478576,.064515151,.085675463,-.0010329485,.0034894466,.0034894466,.021978093,.27274024,.052106399,.0014784464,.044726942,.0040252474,.0013477337,.0055894852,.0069372188,.1942758,.0034894466,.00759893,.0034052103,.0013477337,BWA
CAF,.083555281,-.11620581,.31607765,-.079076491,-.14438556,-.21974698,.018996013,.093801185,.0033554046,.0000916848,-.0014108053,-.0014108053,.00887499,.44603381,.013964507,.0019768984,.078379773,.0074357418,.0025508848,.0097402111,.012291096,.20753926,-.0014108053,.0060865479,-.0014724167,.0025508848,CAF
CAN,-.13047479,-.0016063631,.072528735,.014103316,.52872103,-.012839998,.017577706,.015929377,.035554685,.0016706832,.0014423468,.0014423468,.015802007,.06644398,.010371688,.01367888,.011779928,.0025452655,.0015871339,.001469304,.0030564377,.51927567,.0014423468,.0041247304,.0015794648,.0015871339,CAN
CHE,-.021888135,-.4910481,.096735679,.1729171,.383371,.14458542,.0093521727,.138687,.025679341,.00047383123,.0034829509,.0034829509,.012455337,.21884869,.011901676,.027296262,.015208476,.0071220556,.0056690695,.0023040415,.0079731112,.71102351,.0034829509,.011147064,.0040250085,.0048840027,CHE
CHL,.17430706,-.28652376,-.015014458,-.13684922,.12457251,-.1288919,.022475436,.040499236,.049494591,.0015329333,-.0023296883,-.0023296883,.023661917,.065410212,.020496747,.017712086,.03931934,.0009081958,.00011686001,.0047187624,.0048356224,.024166487,-.0023296883,-.0012540107,-.0021622065,.00011686001,CHL
CHN,.12437255,-.016439185,-.26593432,-.012246361,-.66049206,.29088593,.016211491,.040902454,.093744263,.00056816899,.0027032306,.0027032306,.012975679,.13092756,.018759657,.0016769974,.029919092,.0052986732,.0029471016,.0036666116,.0066137132,.44560468,.0027032306,-.0028050593,.0029128476,.0029471016,CHN
CIV,-.32087135,-.19332598,-.10577881,.3239108,.36931923,.095479526,.028935347,.16820559,.041848376,.00027058521,-.0028243938,-.0028243938,.012936587,.30976743,.04947836,.0025991763,.04289351,.0025713528,.00059199933,.0054508876,.006042887,.097966313,-.0028243938,-.0054352838,-.0027848564,.00059199933,CIV
CMR,.0843523,.29808545,.23150943,.041785948,.35370067,-.082568504,.026505794,.041781839,.042809684,.00073360227,-.0043072482,-.0043072482,.017553365,.34729674,.02302618,.0036063518,.040681038,.00083892711,.000068903624,.005286755,.0053556589,.012865574,-.0043072482,-.005147588,-.004308661,.000068903624,CMR
COL,.13413373,-.00086488581,-.10754547,-.15926045,.18382742,.078977779,.02740705,.042534154,.040385295,.0013989514,.00026206099,.00026206099,.018334433,.19669527,.015546164,.012583682,.015888283,.00060336915,.00011777106,.0022378971,.0023556682,.049994756,.00026206099,.0010074927,.00040412351,.00011777106,COL
